index,0a,0b,1a,1b,2a,2b,3a,3b,4a,4b,5a,5b,6a,6b,7a,7b,8a,8b,9a,9b,10a,10b,11a,11b,12a,12b,13a,13b,14a,14b,15a,15b,16a,16b,17a,17b,18a,18b,19a,19b,20a,20b,label
0,0.0,0.0,-0.33913,0.07826,-0.73043,-0.2,-0.90435,-0.57391,-0.90435,-0.86957,-0.74783,-0.73913,-0.66087,-0.93913,-0.53913,-0.62609,-0.58261,-0.57391,-0.48696,-0.81739,-0.38261,-1.0,-0.27826,-0.56522,-0.38261,-0.5913,-0.23478,-0.86087,-0.10435,-0.9913,-0.05217,-0.58261,-0.16522,-0.5913,0.02609,-0.88696,0.12174,-0.94783,0.15652,-0.64348,0.06957,-0.6,0
1,0.0,0.0,-0.33929,0.08929,-0.74107,-0.19643,-0.92857,-0.57143,-0.92857,-0.875,-0.76786,-0.73214,-0.67857,-0.9375,-0.55357,-0.625,-0.60714,-0.58036,-0.5,-0.83036,-0.39286,-1.0,-0.28571,-0.55357,-0.39286,-0.58929,-0.24107,-0.875,-0.10714,-0.99107,-0.05357,-0.58036,-0.16964,-0.59821,0.01786,-0.90179,0.125,-0.94643,0.15179,-0.64286,0.05357,-0.61607,0
2,0.0,0.0,-0.33628,0.0885,-0.72566,-0.19469,-0.90265,-0.57522,-0.90265,-0.87611,-0.74336,-0.73451,-0.67257,-0.9469,-0.54867,-0.63717,-0.58407,-0.58407,-0.47788,-0.82301,-0.37168,-1.0,-0.27434,-0.55752,-0.37168,-0.59292,-0.22124,-0.86726,-0.07965,-0.9823,-0.0354,-0.56637,-0.15044,-0.59292,0.0354,-0.89381,0.15044,-0.93805,0.16814,-0.63717,0.07965,-0.61062,0
3,0.0,0.0,-0.34513,0.07965,-0.73451,-0.20354,-0.9115,-0.58407,-0.89381,-0.87611,-0.73451,-0.74336,-0.68142,-0.9469,-0.56637,-0.63717,-0.60177,-0.59292,-0.46903,-0.82301,-0.37168,-1.0,-0.28319,-0.55752,-0.38938,-0.60177,-0.21239,-0.85841,-0.0885,-0.97345,-0.04425,-0.56637,-0.15929,-0.59292,0.0531,-0.88496,0.15044,-0.93805,0.16814,-0.62832,0.07965,-0.61062,0
4,0.0,0.0,-0.33913,0.06957,-0.73043,-0.21739,-0.89565,-0.6,-0.87826,-0.87826,-0.69565,-0.73913,-0.63478,-0.94783,-0.53043,-0.64348,-0.57391,-0.5913,-0.43478,-0.8087,-0.34783,-1.0,-0.26957,-0.56522,-0.36522,-0.6087,-0.18261,-0.83478,-0.06957,-0.96522,-0.04348,-0.57391,-0.13913,-0.6,0.06957,-0.85217,0.15652,-0.92174,0.16522,-0.63478,0.09565,-0.6087,0
5,0.0,0.0,-0.35398,0.0885,-0.75221,-0.21239,-0.92035,-0.61062,-0.90265,-0.90265,-0.72566,-0.75221,-0.65487,-0.95575,-0.54867,-0.63717,-0.59292,-0.60177,-0.45133,-0.82301,-0.37168,-1.0,-0.29204,-0.55752,-0.38053,-0.61062,-0.18584,-0.85841,-0.0885,-0.9823,-0.06195,-0.56637,-0.15044,-0.60177,0.07965,-0.86726,0.14159,-0.9292,0.15929,-0.62832,0.09735,-0.61062,0
6,0.0,0.0,-0.35088,0.07895,-0.74561,-0.22807,-0.89474,-0.62281,-0.88596,-0.91228,-0.70175,-0.77193,-0.64035,-0.95614,-0.54386,-0.64912,-0.57895,-0.61404,-0.42982,-0.83333,-0.35088,-1.0,-0.2807,-0.54386,-0.36842,-0.61404,-0.16667,-0.85088,-0.0614,-0.95614,-0.05263,-0.54386,-0.14035,-0.58772,0.09649,-0.85965,0.17544,-0.89474,0.16667,-0.59649,0.09649,-0.58772,0
7,0.0,0.0,-0.35398,0.09735,-0.76106,-0.21239,-0.92035,-0.61947,-0.89381,-0.90265,-0.70796,-0.75221,-0.65487,-0.9646,-0.54867,-0.63717,-0.57522,-0.59292,-0.43363,-0.81416,-0.36283,-1.0,-0.29204,-0.54867,-0.37168,-0.60177,-0.16814,-0.84071,-0.0708,-0.9646,-0.0531,-0.53982,-0.13274,-0.57522,0.10619,-0.84956,0.15929,-0.90265,0.16814,-0.59292,0.12389,-0.57522,0
8,0.0,0.0,-0.36842,0.04386,-0.74561,-0.26316,-0.89474,-0.64912,-0.87719,-0.92982,-0.66667,-0.79825,-0.62281,-0.97368,-0.53509,-0.65789,-0.55263,-0.63158,-0.39474,-0.85088,-0.32456,-1.0,-0.27193,-0.55263,-0.35088,-0.63158,-0.13158,-0.85965,-0.04386,-0.9386,-0.04386,-0.53509,-0.12281,-0.60526,0.14035,-0.85088,0.19298,-0.88596,0.18421,-0.59649,0.12281,-0.59649,0
9,0.0,0.0,-0.38393,0.08036,-0.77679,-0.25893,-0.91071,-0.66964,-0.91964,-0.9375,-0.66964,-0.75893,-0.65179,-0.99107,-0.55357,-0.66071,-0.54464,-0.60714,-0.39286,-0.79464,-0.35714,-1.0,-0.30357,-0.5625,-0.34821,-0.60714,-0.11607,-0.80357,-0.07143,-0.94643,-0.0625,-0.53571,-0.11607,-0.58036,0.15179,-0.80357,0.17857,-0.88393,0.16964,-0.58036,0.15179,-0.5625,0
10,0.0,0.0,-0.39655,-0.03448,-0.72414,-0.37069,-0.82759,-0.73276,-0.81034,-0.99138,-0.51724,-0.80172,-0.57759,-1.0,-0.50862,-0.67241,-0.4569,-0.62931,-0.25,-0.83621,-0.30172,-0.99138,-0.2931,-0.58621,-0.25862,-0.62931,-0.00862,-0.80172,-0.02586,-0.89655,-0.06897,-0.52586,-0.05172,-0.57759,0.24138,-0.75862,0.2069,-0.7931,0.13793,-0.5431,0.15517,-0.55172,0
11,0.0,0.0,-0.38655,-0.08403,-0.67227,-0.41176,-0.77311,-0.73109,-0.76471,-0.96639,-0.45378,-0.86555,-0.54622,-1.0,-0.48739,-0.68067,-0.42017,-0.64706,-0.19328,-0.88235,-0.29412,-0.96639,-0.29412,-0.57983,-0.22689,-0.63025,0.05042,-0.83193,-0.02521,-0.87395,-0.06723,-0.52101,0.0,-0.57983,0.28571,-0.76471,0.20168,-0.76471,0.13445,-0.53782,0.19328,-0.56303,0
12,0.0,0.0,-0.38655,-0.10924,-0.66387,-0.43697,-0.7563,-0.7563,-0.7479,-1.0,-0.40336,-0.89916,-0.53782,-1.0,-0.47899,-0.68067,-0.39496,-0.64706,-0.16807,-0.91597,-0.31092,-0.95798,-0.29412,-0.58824,-0.21008,-0.63025,0.06723,-0.86555,-0.05042,-0.87395,-0.08403,-0.54622,0.0084,-0.58824,0.29412,-0.78992,0.16807,-0.7563,0.11765,-0.54622,0.18487,-0.57143,0
13,0.0,0.0,-0.37815,-0.12605,-0.63866,-0.45378,-0.72269,-0.76471,-0.71429,-1.0,-0.38655,-0.89076,-0.52101,-1.0,-0.47899,-0.68908,-0.39496,-0.63025,-0.15126,-0.89916,-0.29412,-0.94958,-0.30252,-0.59664,-0.21849,-0.59664,0.07563,-0.85714,-0.05882,-0.85714,-0.09244,-0.53782,-0.0084,-0.55462,0.29412,-0.76471,0.15966,-0.73109,0.10924,-0.52941,0.17647,-0.54622,0
14,0.0,0.0,-0.36667,-0.14167,-0.59167,-0.48333,-0.66667,-0.775,-0.675,-1.0,-0.31667,-0.9,-0.48333,-1.0,-0.45,-0.7,-0.36667,-0.625,-0.1,-0.9,-0.28333,-0.93333,-0.29167,-0.60833,-0.19167,-0.6,0.11667,-0.84167,-0.075,-0.85,-0.1,-0.54167,0.0,-0.54167,0.31667,-0.74167,0.13333,-0.73333,0.08333,-0.53333,0.16667,-0.525,0
15,0.0,0.0,-0.33884,-0.18182,-0.4876,-0.52893,-0.5124,-0.80165,-0.5124,-1.0,-0.1405,-0.91736,-0.36364,-1.0,-0.38843,-0.72727,-0.32231,-0.61157,0.04959,-0.90909,-0.23967,-0.92562,-0.27273,-0.61157,-0.16529,-0.56198,0.20661,-0.83471,-0.07438,-0.84298,-0.1157,-0.54545,-0.00826,-0.50413,0.35537,-0.71074,0.09091,-0.70248,0.04132,-0.5124,0.1405,-0.47934,0
16,0.0,0.0,-0.31967,-0.18033,-0.46721,-0.52459,-0.48361,-0.79508,-0.4918,-1.0,-0.11475,-0.89344,-0.33607,-0.9918,-0.37705,-0.71311,-0.31148,-0.59836,0.06557,-0.88525,-0.21311,-0.90164,-0.2459,-0.59836,-0.14754,-0.54918,0.22951,-0.81148,-0.05738,-0.81148,-0.09836,-0.52459,0.0,-0.4918,0.36885,-0.69672,0.09836,-0.68852,0.04918,-0.5,0.14754,-0.45902,0
17,0.0,0.0,-0.31405,-0.19008,-0.44628,-0.52893,-0.46281,-0.79339,-0.45455,-1.0,-0.08264,-0.90909,-0.32231,-0.99174,-0.3719,-0.71901,-0.30579,-0.59504,0.09091,-0.8843,-0.21488,-0.91736,-0.2562,-0.60331,-0.15702,-0.54545,0.23967,-0.80992,-0.06612,-0.81818,-0.1157,-0.52893,-0.00826,-0.47934,0.36364,-0.68595,0.09091,-0.67769,0.04132,-0.49587,0.13223,-0.45455,0
18,0.0,0.0,-0.3,-0.20833,-0.41667,-0.54167,-0.43333,-0.79167,-0.425,-1.0,-0.05,-0.91667,-0.30833,-0.98333,-0.35833,-0.725,-0.29167,-0.60833,0.11667,-0.9,-0.2,-0.91667,-0.25,-0.61667,-0.15833,-0.55,0.25833,-0.81667,-0.06667,-0.8,-0.11667,-0.525,-0.01667,-0.475,0.375,-0.675,0.09167,-0.65833,0.04167,-0.475,0.125,-0.44167,0
19,0.0,0.0,-0.2623,-0.2459,-0.33607,-0.56557,-0.34426,-0.79508,-0.35246,-1.0,0.07377,-0.90984,-0.2541,-0.97541,-0.32787,-0.72951,-0.2623,-0.61475,0.20492,-0.86885,-0.18852,-0.89344,-0.2541,-0.61475,-0.18033,-0.53279,0.29508,-0.77049,-0.09836,-0.77049,-0.15574,-0.5082,-0.07377,-0.44262,0.35246,-0.62295,0.03279,-0.62295,-0.02459,-0.45082,0.04918,-0.39344,0
20,0.0,0.0,-0.25203,-0.25203,-0.31707,-0.56098,-0.31707,-0.79675,-0.3252,-1.0,0.11382,-0.91057,-0.22764,-0.96748,-0.30894,-0.73171,-0.25203,-0.61789,0.23577,-0.86992,-0.17073,-0.88618,-0.2439,-0.62602,-0.17886,-0.53659,0.31707,-0.76423,-0.08943,-0.7561,-0.14634,-0.5122,-0.07317,-0.43902,0.34959,-0.60976,0.01626,-0.5935,-0.02439,-0.43089,0.04878,-0.38211,0
21,0.0,0.0,-0.264,-0.24,-0.352,-0.56,-0.36,-0.792,-0.368,-1.0,0.08,-0.912,-0.272,-0.96,-0.344,-0.736,-0.28,-0.624,0.2,-0.872,-0.208,-0.888,-0.272,-0.624,-0.2,-0.536,0.28,-0.768,-0.12,-0.744,-0.176,-0.504,-0.104,-0.44,0.312,-0.616,-0.016,-0.576,-0.056,-0.424,0.016,-0.376,0
22,0.0,0.0,-0.264,-0.24,-0.352,-0.56,-0.368,-0.792,-0.384,-1.0,0.048,-0.92,-0.272,-0.968,-0.336,-0.728,-0.272,-0.616,0.184,-0.888,-0.2,-0.872,-0.248,-0.6,-0.16,-0.52,0.28,-0.776,-0.104,-0.736,-0.144,-0.488,-0.056,-0.432,0.336,-0.624,0.032,-0.584,-0.008,-0.432,0.064,-0.392,0
23,0.0,0.0,-0.248,-0.232,-0.336,-0.56,-0.352,-0.792,-0.368,-1.0,0.056,-0.912,-0.248,-0.952,-0.312,-0.712,-0.264,-0.6,0.192,-0.872,-0.184,-0.856,-0.232,-0.592,-0.152,-0.512,0.288,-0.768,-0.08,-0.72,-0.12,-0.488,-0.032,-0.432,0.352,-0.616,0.048,-0.568,0.008,-0.424,0.08,-0.392,0
24,0.0,0.0,-0.37615,-0.13761,-0.6422,-0.44954,-0.76147,-0.75229,-0.76147,-1.0,-0.42202,-0.91743,-0.55046,-1.0,-0.48624,-0.68807,-0.40367,-0.65138,-0.16514,-0.93578,-0.31193,-0.95413,-0.29358,-0.6055,-0.22018,-0.6422,0.08257,-0.88991,-0.06422,-0.86239,-0.07339,-0.55046,0.00917,-0.58716,0.3211,-0.80734,0.17431,-0.77982,0.12844,-0.55046,0.20183,-0.55963,0
25,0.0,0.0,-0.39216,-0.02941,-0.73529,-0.33333,-0.87255,-0.67647,-0.88235,-0.94118,-0.59804,-0.86275,-0.62745,-0.97059,-0.53922,-0.63725,-0.5098,-0.62745,-0.31373,-0.91176,-0.33333,-1.0,-0.30392,-0.58824,-0.31373,-0.64706,-0.04902,-0.90196,-0.03922,-0.92157,-0.05882,-0.54902,-0.06863,-0.60784,0.22549,-0.86275,0.20588,-0.84314,0.17647,-0.57843,0.17647,-0.60784,0
26,0.0,0.0,-0.37624,0.0,-0.71287,-0.32673,-0.85149,-0.69307,-0.85149,-0.9604,-0.57426,-0.84158,-0.60396,-0.9901,-0.51485,-0.67327,-0.47525,-0.64356,-0.29703,-0.89109,-0.31683,-1.0,-0.26733,-0.58416,-0.26733,-0.63366,-0.0297,-0.88119,-0.0198,-0.93069,-0.0297,-0.55446,-0.0396,-0.61386,0.23762,-0.84158,0.22772,-0.85149,0.19802,-0.59406,0.19802,-0.61386,0
27,0.0,0.0,-0.39583,0.02083,-0.77083,-0.29167,-0.91667,-0.65625,-0.89583,-0.94792,-0.66667,-0.90625,-0.64583,-1.0,-0.55208,-0.66667,-0.54167,-0.65625,-0.375,-0.97917,-0.32292,-1.0,-0.29167,-0.5625,-0.33333,-0.64583,-0.08333,-0.97917,-0.01042,-0.9375,-0.03125,-0.55208,-0.09375,-0.61458,0.20833,-0.94792,0.25,-0.875,0.19792,-0.59375,0.14583,-0.61458,0
28,0.0,0.0,-0.39583,0.03125,-0.78125,-0.25,-0.94792,-0.61458,-0.9375,-0.91667,-0.73958,-0.89583,-0.63542,-0.94792,-0.55208,-0.63542,-0.58333,-0.64583,-0.44792,-0.98958,-0.33333,-0.98958,-0.29167,-0.5625,-0.375,-0.64583,-0.15625,-1.0,-0.03125,-0.94792,-0.05208,-0.5625,-0.14583,-0.625,0.13542,-0.97917,0.20833,-0.90625,0.1875,-0.61458,0.11458,-0.63542,0
29,0.0,0.0,-0.37113,0.08247,-0.75258,-0.19588,-0.92784,-0.56701,-0.90722,-0.87629,-0.75258,-0.82474,-0.63918,-0.90722,-0.53608,-0.58763,-0.59794,-0.58763,-0.49485,-0.93814,-0.35052,-0.96907,-0.28866,-0.53608,-0.38144,-0.59794,-0.23711,-0.98969,-0.07216,-0.94845,-0.06186,-0.5567,-0.16495,-0.60825,0.03093,-1.0,0.15464,-0.90722,0.15464,-0.61856,0.05155,-0.64948,0
30,0.0,0.0,-0.21649,0.04124,-0.47423,-0.12371,-0.57732,-0.4433,-0.57732,-0.75258,-0.87629,-0.61856,-0.54639,-0.84536,-0.37113,-0.60825,-0.38144,-0.46392,-0.68041,-0.79381,-0.35052,-0.97938,-0.16495,-0.61856,-0.23711,-0.52577,-0.4433,-0.89691,-0.13402,-1.0,-0.01031,-0.64948,-0.10309,-0.56701,-0.21649,-0.94845,0.01031,-0.98969,0.09278,-0.73196,0.0,-0.64948,0
31,0.0,0.0,-0.20213,0.05319,-0.47872,-0.14894,-0.59574,-0.48936,-0.61702,-0.78723,-0.8617,-0.60638,-0.57447,-0.8617,-0.39362,-0.58511,-0.41489,-0.44681,-0.67021,-0.78723,-0.37234,-0.96809,-0.20213,-0.60638,-0.2766,-0.51064,-0.42553,-0.89362,-0.1383,-1.0,-0.02128,-0.62766,-0.11702,-0.56383,-0.19149,-0.94681,0.03191,-1.0,0.11702,-0.7234,0.02128,-0.64894,0
32,0.0,0.0,-0.20202,0.0202,-0.42424,-0.12121,-0.48485,-0.44444,-0.47475,-0.77778,-0.84848,-0.59596,-0.53535,-0.85859,-0.31313,-0.64646,-0.26263,-0.47475,-0.65657,-0.76768,-0.29293,-0.9798,-0.09091,-0.64646,-0.13131,-0.50505,-0.43434,-0.85859,-0.09091,-1.0,0.05051,-0.66667,-0.0404,-0.54545,-0.21212,-0.88889,0.05051,-0.9798,0.14141,-0.73737,0.05051,-0.62626,0
33,0.0,0.0,-0.18947,0.04211,-0.41053,-0.12632,-0.47368,-0.44211,-0.45263,-0.73684,-0.85263,-0.58947,-0.51579,-0.84211,-0.31579,-0.62105,-0.28421,-0.46316,-0.68421,-0.77895,-0.30526,-0.94737,-0.11579,-0.63158,-0.13684,-0.49474,-0.46316,-0.89474,-0.09474,-0.98947,0.04211,-0.67368,-0.01053,-0.54737,-0.23158,-0.93684,0.04211,-1.0,0.12632,-0.76842,0.06316,-0.66316,0
34,0.0,0.0,-0.16832,0.05941,-0.37624,-0.11881,-0.44554,-0.46535,-0.46535,-0.77228,-0.87129,-0.49505,-0.48515,-0.77228,-0.26733,-0.58416,-0.23762,-0.47525,-0.75248,-0.71287,-0.30693,-0.93069,-0.09901,-0.61386,-0.12871,-0.49505,-0.55446,-0.85149,-0.11881,-1.0,0.0099,-0.66337,-0.05941,-0.55446,-0.33663,-0.92079,-0.0198,-0.9802,0.06931,-0.74257,0.0,-0.66337,0
35,0.0,0.0,-0.13333,0.12381,-0.29524,0.00952,-0.37143,-0.32381,-0.41905,-0.61905,-0.82857,-0.39048,-0.4,-0.70476,-0.15238,-0.51429,-0.13333,-0.37143,-0.77143,-0.64762,-0.27619,-0.88571,-0.0381,-0.6,-0.05714,-0.45714,-0.62857,-0.81905,-0.14286,-0.98095,0.04762,-0.69524,0.0,-0.55238,-0.44762,-0.90476,-0.08571,-1.0,0.06667,-0.79048,0.01905,-0.67619,0
36,0.0,0.0,-0.14,0.12,-0.33,0.03,-0.4,-0.3,-0.45,-0.6,-0.91,-0.42,-0.48,-0.72,-0.24,-0.51,-0.24,-0.38,-0.83,-0.67,-0.36,-0.91,-0.1,-0.6,-0.13,-0.48,-0.66,-0.84,-0.2,-1.0,-0.01,-0.69,-0.07,-0.56,-0.47,-0.92,-0.12,-1.0,0.02,-0.8,-0.05,-0.7,0
37,0.0,0.0,-0.13592,0.12621,-0.32039,0.03883,-0.38835,-0.29126,-0.4466,-0.58252,-0.8835,-0.39806,-0.42718,-0.74757,-0.20388,-0.54369,-0.21359,-0.37864,-0.81553,-0.6699,-0.30097,-0.92233,-0.07767,-0.62136,-0.1165,-0.47573,-0.66019,-0.84466,-0.16505,-1.0,0.0,-0.70874,-0.07767,-0.57282,-0.48544,-0.93204,-0.1068,-1.0,0.01942,-0.80583,-0.05825,-0.69903,0
38,0.0,0.0,-0.13861,0.15842,-0.32673,0.10891,-0.40594,-0.20792,-0.49505,-0.50495,-0.94059,-0.37624,-0.45545,-0.70297,-0.22772,-0.48515,-0.24752,-0.33663,-0.89109,-0.65347,-0.31683,-0.89109,-0.08911,-0.57426,-0.15842,-0.43564,-0.74257,-0.83168,-0.20792,-1.0,-0.0297,-0.70297,-0.09901,-0.56436,-0.55446,-0.93069,-0.14851,-1.0,0.0,-0.80198,-0.06931,-0.69307,0
39,0.0,0.0,-0.13592,0.15534,-0.30097,0.1068,-0.35922,-0.21359,-0.42718,-0.51456,-0.87379,-0.31068,-0.4466,-0.67961,-0.20388,-0.57282,-0.18447,-0.46602,-0.86408,-0.58252,-0.32039,-0.86408,-0.05825,-0.62136,-0.08738,-0.48544,-0.74757,-0.76699,-0.24272,-0.99029,-0.02913,-0.74757,-0.06796,-0.60194,-0.57282,-0.87379,-0.18447,-1.0,-0.00971,-0.83495,-0.05825,-0.70874,0
40,0.0,0.0,-0.15455,0.18182,-0.33636,0.15455,-0.35455,-0.15455,-0.34545,-0.47273,-0.86364,-0.30909,-0.43636,-0.59091,-0.16364,-0.44545,-0.15455,-0.32727,-0.82727,-0.62727,-0.33636,-0.82727,-0.09091,-0.58182,-0.15455,-0.44545,-0.70909,-0.83636,-0.26364,-0.98182,-0.05455,-0.72727,-0.12727,-0.58182,-0.54545,-0.94545,-0.2,-1.0,-0.03636,-0.81818,-0.10909,-0.69091,0
41,0.0,0.0,-0.14706,0.16667,-0.31373,0.13725,-0.38235,-0.17647,-0.45098,-0.48039,-0.88235,-0.31373,-0.4902,-0.64706,-0.22549,-0.60784,-0.14706,-0.53922,-0.86275,-0.58824,-0.35294,-0.86275,-0.05882,-0.65686,-0.04902,-0.52941,-0.7451,-0.77451,-0.26471,-0.97059,-0.02941,-0.7451,-0.04902,-0.58824,-0.56863,-0.87255,-0.18627,-1.0,-0.0098,-0.83333,-0.04902,-0.70588,0
42,0.0,0.0,-0.13592,0.18447,-0.29126,0.15534,-0.35922,-0.14563,-0.42718,-0.45631,-0.8835,-0.26214,-0.4466,-0.64078,-0.21359,-0.53398,-0.19417,-0.39806,-0.8932,-0.54369,-0.3301,-0.79612,-0.07767,-0.5534,-0.09709,-0.38835,-0.78641,-0.73786,-0.29126,-0.95146,-0.05825,-0.72816,-0.05825,-0.57282,-0.61165,-0.85437,-0.24272,-1.0,-0.04854,-0.84466,-0.05825,-0.71845,0
43,0.0,0.0,-0.1068,0.18447,-0.28155,0.16505,-0.36893,-0.1165,-0.4466,-0.39806,-0.90291,-0.30097,-0.42718,-0.66019,-0.14563,-0.48544,-0.1068,-0.3301,-0.8835,-0.60194,-0.29126,-0.83495,-0.03883,-0.56311,-0.07767,-0.39806,-0.76699,-0.79612,-0.19417,-0.97087,0.0,-0.69903,-0.05825,-0.5534,-0.59223,-0.91262,-0.16505,-1.0,0.0,-0.81553,-0.05825,-0.68932,0
44,0.0,0.0,-0.15534,0.20388,-0.35922,0.17476,-0.43689,-0.14563,-0.50485,-0.43689,-0.94175,-0.27184,-0.47573,-0.63107,-0.23301,-0.4466,-0.2233,-0.28155,-0.91262,-0.56311,-0.33981,-0.81553,-0.08738,-0.5534,-0.1068,-0.38835,-0.79612,-0.75728,-0.27184,-0.96117,-0.05825,-0.72816,-0.07767,-0.56311,-0.62136,-0.87379,-0.2233,-1.0,-0.03883,-0.84466,-0.07767,-0.70874,0
45,0.0,0.0,-0.13861,0.21782,-0.34653,0.21782,-0.44554,-0.09901,-0.53465,-0.38614,-0.9505,-0.26733,-0.49505,-0.61386,-0.24752,-0.44554,-0.22772,-0.27723,-0.93069,-0.56436,-0.35644,-0.78218,-0.10891,-0.52475,-0.13861,-0.36634,-0.81188,-0.75248,-0.28713,-0.94059,-0.07921,-0.71287,-0.10891,-0.56436,-0.64356,-0.86139,-0.25743,-1.0,-0.07921,-0.85149,-0.10891,-0.73267,0
